,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More
205,MT,Big Horn,12865,10565.0876,9021.306748,5483.055436,966.6543693
206,WY,Big Horn,11668,8162.757047,5983.647792,2176.423005,218.89603230000003
207,MN,Big Stone,5269,4452.44434,3613.624069,2490.287502,0.0
208,ND,Billings,783,782.9999968,782.9999968,782.9999968,696.6315301
209,ID,Bingham,45607,40584.05257,32514.070760000002,1937.275952,68.83121033
210,IA,Black Hawk,131090,100611.3321,50069.21833,2746.092913,0.0
211,IN,Blackford,12766,8547.186625,6682.336948,15.74163938,0.0
212,NC,Bladen,35190,32632.3165,29002.03253,1742.9891710000002,0.0
213,ID,Blaine,21376,17233.39667,12563.38238,1722.84547,565.2147432
214,MT,Blaine,6491,4519.377573,4312.5561450000005,2207.767173,1877.739752
215,NE,Blaine,478,477.99999840000004,477.99999840000004,477.99999840000004,477.99999840000004
216,OK,Blaine,11943,10839.49285,8974.961815999999,4867.602445,0.36083268
217,PA,Blair,127089,97946.51866,53847.896660000006,0.0,0.0
218,TX,Blanco,10497,9938.139035,8999.247440000001,1047.8970689999999,0.0
219,VA,Bland,6824,6823.259755,6807.2988510000005,2752.042363,0.0
220,GA,Bleckley,13063,10613.75497,7604.011973999999,246.1015432,0.0
221,TN,Bledsoe,12876,12245.68844,11194.03895,598.8926062,0.0
222,AL,Blount,57322,55450.86743,51292.07548,33.23311368,0.0
223,TN,Blount,123010,110201.5934,89987.78292,18.1895012,0.0
224,MN,Blue Earth,64013,55915.29003,40933.86821,1576.795364,0.0
225,ID,Boise,7028,7027.999979000001,7027.999979000001,6327.122256000001,3381.4039009999997
226,MS,Bolivar,34145,30534.512310000002,23463.9046,6778.65135,0.0
227,MO,Bollinger,12363,11699.47715,11237.835509999999,3577.503393,0.0
228,SD,Bon Homme,7070,7070.0000469999995,7070.0000469999995,6208.518406,1038.1834039999999
229,IL,Bond,17768,15777.780130000001,13229.03664,1199.687024,0.0
230,ID,Bonner,40877,35831.17647,30100.73008,6004.35693,577.3932739
231,ID,Bonneville,104234,83424.37851000001,51355.3392,1174.953596,488.44018960000005
232,AR,Boone,36903,33923.26384,29341.82115,5929.790386,0.0
233,IA,Boone,26306,20216.5453,11908.989590000001,303.5674004,0.0
234,IL,Boone,54165,40229.36165,28344.08238,0.0,0.0
235,IN,Boone,56640,45529.83504,33093.43025,15.28707776,0.0
236,KY,Boone,118811,101041.3077,70501.38062000001,0.0,0.0
237,MO,Boone,162642,138394.4949,97191.75224,2845.047371,0.0
238,NE,Boone,5505,4103.283672,3028.2616780000003,1587.307611,4.5886999589999995
239,WV,Boone,24629,22450.64383,20514.41761,267.9804177,0.0
240,TX,Borden,641,641.0000001,641.0000001,641.0000001,431.45522900000003
241,TX,Bosque,18212,15142.800159999999,12332.31687,4234.299655,0.0
242,LA,Bossier,116979,98151.77157000001,67759.90984,1707.024298,0.0
243,VA,Botetourt,33148,31553.65657,27754.248389999997,834.4151063999999,0.0
244,ND,Bottineau,6429,4426.814414,4127.537319,2991.639376,1442.972842
245,CO,Boulder,294567,190108.896,82750.9399,621.9290815,0.0
246,ID,Boundary,10972,9805.291839,8532.403344,1795.9428300000002,186.33224199999998
247,KS,Bourbon,15173,12965.1911,7895.186736,2436.388773,1.381654225
248,KY,Bourbon,19985,15352.903409999999,11086.19636,0.0,0.0
249,TX,Bowie,92565,80451.57656,57880.970610000004,2360.609833,0.0
