,State,County,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
174,AR,Poinsett,"10,064","9,502",562,6.0
175,AR,Polk,"8,295","7,815",480,6.0
176,AR,Pope,"29,676","28,110","1,566",5.0
177,AR,Prairie,"3,728","3,553",175,5.0
178,AR,Pulaski,"186,061","177,567","8,494",5.0
179,AR,Randolph,"6,184","5,742",442,7.0
180,AR,St.,"8,948","8,302",646,7.0
181,AR,Saline,"55,992","53,714","2,278",4.0
182,AR,Scott,"4,486","4,271",215,5.0
183,AR,Searcy,"3,027","2,856",171,6.0
184,AR,Sebastian,"57,731","54,961","2,770",5.0
185,AR,Sevier,"5,603","5,260",343,6.0
186,AR,Sharp,"6,004","5,591",413,7.0
187,AR,Stone,"4,705","4,411",294,6.0
188,AR,Union,"16,871","15,837","1,034",6.0
189,AR,Van,"6,427","5,996",431,7.0
190,AR,Washington,"115,236","111,175","4,061",4.0
191,AR,White,"34,536","32,391","2,145",6.0
192,AR,Woodruff,"3,031","2,837",194,6.0
193,AR,Yell,"8,941","8,486",455,5.0
195,CA,Alameda,"823,130","784,217","38,913",5.0
196,CA,Alpine,546,506,40,7.0
197,CA,Amador,"14,343","13,396",947,7.0
198,CA,Butte,"101,337","94,074","7,263",7.0
199,CA,Calaveras,"20,586","19,272","1,314",6.0
200,CA,Colusa,"11,070","9,367","1,703",15.0
201,CA,Contra,"547,455","519,999","27,456",5.0
202,CA,Del,"9,876","9,033",843,9.0
203,CA,El,"88,350","83,326","5,024",6.0
204,CA,Fresno,"441,364","396,410","44,954",10.0
205,CA,Glenn,"12,988","11,856","1,132",9.0
206,CA,Humboldt,"62,454","58,964","3,490",6.0
207,CA,Imperial,"78,162","59,351","18,811",24.0
208,CA,Inyo,"9,107","8,580",527,6.0
209,CA,Kern,"390,873","350,944","39,929",10.0
210,CA,Kings,"57,873","51,797","6,076",11.0
211,CA,Lake,"29,060","26,852","2,208",8.0
212,CA,Lassen,"10,783","10,004",779,7.0
213,CA,Los,"5,002,332","4,671,098","331,234",7.0
214,CA,Madera,"60,021","53,719","6,302",11.0
215,CA,Marin,"139,512","134,572","4,940",4.0
216,CA,Mariposa,"8,027","7,454",573,7.0
217,CA,Mendocino,"39,930","37,609","2,321",6.0
218,CA,Merced,"114,340","101,362","12,978",11.0
219,CA,Modoc,"3,305","3,022",283,9.0
220,CA,Mono,"8,262","7,757",505,6.0
221,CA,Monterey,"218,811","201,110","17,701",8.0
222,CA,Napa,"73,937","70,523","3,414",5.0
223,CA,Nevada,"48,140","45,532","2,608",5.0
224,CA,Orange,"1,588,764","1,517,820","70,944",5.0
225,CA,Placer,"176,855","167,923","8,932",5.0
226,CA,Plumas,"7,900","7,088",812,10.0
227,CA,Riverside,"1,035,694","966,338","69,356",7.0
228,CA,Sacramento,"685,987","644,870","41,117",6.0
229,CA,San,"29,342","27,087","2,255",8.0
230,CA,San,"921,170","861,894","59,276",6.0
231,CA,San,"1,554,903","1,474,197","80,706",5.0
232,CA,San,"545,704","525,939","19,765",4.0
233,CA,San,"315,286","287,278","28,008",9.0
234,CA,San,"139,613","133,029","6,584",5.0
235,CA,San,"437,690","422,826","14,864",3.0
236,CA,Santa,"217,769","206,250","11,519",5.0
237,CA,Santa,"1,009,804","967,710","42,094",4.0
238,CA,Santa,"143,426","132,675","10,751",8.0
239,CA,Shasta,"74,324","68,550","5,774",8.0
240,CA,Sierra,"1,356","1,237",119,9.0
241,CA,Siskiyou,"17,920","16,242","1,678",9.0
242,CA,Solano,"205,325","192,736","12,589",6.0
243,CA,Sonoma,"258,426","246,837","11,589",5.0
244,CA,Stanislaus,"241,609","218,687","22,922",10.0
245,CA,Sutter,"44,704","39,914","4,790",11.0
246,CA,Tehama,"25,076","23,094","1,982",8.0
247,CA,Trinity,"5,142","4,742",400,8.0
248,CA,Tulare,"204,111","180,569","23,542",12.0
249,CA,Tuolumne,"21,578","20,058","1,520",7.0
250,CA,Ventura,"428,437","404,239","24,198",6.0
251,CA,Yolo,"104,706","97,963","6,743",6.0
252,CA,Yuba,"27,881","25,301","2,580",9.0
254,CO,Adams,"247,717","236,940","10,777",4.0
255,CO,Alamosa,"7,649","7,254",395,5.0
256,CO,Arapahoe,"334,230","321,794","12,436",4.0
257,CO,Archuleta,"6,010","5,767",243,4.0
258,CO,Baca,"1,969","1,929",40,2.0
259,CO,Bent,"1,731","1,663",68,4.0
260,CO,Boulder,"176,707","171,102","5,605",3.0
261,CO,Broomfield,"35,527","34,353","1,174",3.0
262,CO,Chaffee,"8,491","8,201",290,3.0
263,CO,Cheyenne,"1,010",983,27,3.0
264,CO,Clear,"5,542","5,339",203,4.0
265,CO,Conejos,"3,597","3,392",205,6.0
266,CO,Costilla,"1,622","1,518",104,6.0
267,CO,Crowley,"1,353","1,293",60,4.0
268,CO,Custer,"1,988","1,918",70,4.0
269,CO,Delta,"13,438","12,670",768,6.0
270,CO,Denver,"375,443","361,592","13,851",4.0
271,CO,Dolores,"1,322","1,281",41,3.0
272,CO,Douglas,"172,093","166,762","5,331",3.0
273,CO,Eagle,"32,734","31,707","1,027",3.0
274,CO,Elbert,"13,256","12,839",417,3.0
275,CO,El,"307,567","293,453","14,114",5.0
276,CO,Fremont,"14,497","13,602",895,6.0
277,CO,Garfield,"30,458","29,194","1,264",4.0
278,CO,Gilpin,"3,397","3,291",106,3.0
279,CO,Grand,"9,051","8,759",292,3.0
280,CO,Gunnison,"9,787","9,498",289,3.0
281,CO,Hinsdale,440,427,13,3.0
282,CO,Huerfano,"2,369","2,186",183,8.0
283,CO,Jackson,834,803,31,4.0
284,CO,Jefferson,"308,750","297,859","10,891",4.0
285,CO,Kiowa,791,770,21,3.0
286,CO,Kit,"4,319","4,215",104,2.0
287,CO,Lake,"4,566","4,389",177,4.0
288,CO,La,"29,848","28,819","1,029",3.0
289,CO,Larimer,"180,520","174,549","5,971",3.0
290,CO,Las,"6,126","5,782",344,6.0
291,CO,Lincoln,"2,169","2,095",74,3.0
292,CO,Logan,"10,928","10,595",333,3.0
293,CO,Mesa,"71,779","67,806","3,973",6.0
294,CO,Mineral,445,429,16,4.0
295,CO,Moffat,"7,104","6,781",323,5.0
296,CO,Montezuma,"12,335","11,634",701,6.0
297,CO,Montrose,"19,321","18,346",975,5.0
298,CO,Morgan,"14,663","14,106",557,4.0
299,CO,Otero,"7,880","7,423",457,6.0
300,CO,Ouray,"2,153","2,060",93,4.0
301,CO,Park,"9,365","9,043",322,3.0
302,CO,Phillips,"2,356","2,300",56,2.0
303,CO,Pitkin,"10,734","10,319",415,4.0
304,CO,Prowers,"5,811","5,576",235,4.0
305,CO,Pueblo,"71,679","67,632","4,047",6.0
306,CO,Rio,"2,805","2,658",147,5.0
307,CO,Rio,"4,865","4,558",307,6.0
308,CO,Routt,"14,274","13,810",464,3.0
309,CO,Saguache,"3,077","2,888",189,6.0
310,CO,San,470,450,20,4.0
311,CO,San,"5,071","4,879",192,4.0
312,CO,Sedgwick,"1,146","1,107",39,3.0
313,CO,Summit,"20,553","20,034",519,3.0
314,CO,Teller,"11,400","10,892",508,5.0
315,CO,Washington,"2,783","2,712",71,3.0
316,CO,Weld,"147,722","142,040","5,682",4.0
317,CO,Yuma,"5,129","4,995",134,3.0
319,CT,Fairfield,"481,852","456,134","25,718",5.0
320,CT,Hartford,"474,499","446,575","27,924",6.0
321,CT,Litchfield,"105,607","100,157","5,450",5.0
322,CT,Middlesex,"92,262","87,695","4,567",5.0
323,CT,New,"456,601","428,192","28,409",6.0
324,CT,New,"136,999","128,887","8,112",6.0
325,CT,Tolland,"85,126","80,888","4,238",5.0
326,CT,Windham,"62,883","58,905","3,978",6.0
328,DE,Kent,"76,595","72,470","4,125",5.0
329,DE,New,"292,479","278,738","13,741",5.0
330,DE,Sussex,"98,037","93,196","4,841",5.0
331,DC,District,"388,057","361,324","26,733",7.0
332,DC,District,"388,057","361,324","26,733",7.0
334,FL,Alachua,"129,509","123,529","5,980",5.0
335,FL,Baker,"11,174","10,549",625,6.0
336,FL,Bay,"87,546","82,751","4,795",6.0
337,FL,Bradford,"10,746","10,226",520,5.0
338,FL,Brevard,"256,470","241,082","15,388",6.0
339,FL,Broward,"988,228","937,544","50,684",5.0
340,FL,Calhoun,"4,942","4,639",303,6.0
341,FL,Charlotte,"67,666","63,599","4,067",6.0
342,FL,Citrus,"47,816","44,217","3,599",8.0
343,FL,Clay,"98,464","93,493","4,971",5.0
344,FL,Collier,"163,708","155,094","8,614",5.0
345,FL,Columbia,"28,978","27,383","1,595",6.0
346,FL,DeSoto,"13,379","12,601",778,6.0
347,FL,Dixie,"5,587","5,239",348,6.0
348,FL,Duval,"460,613","433,842","26,771",6.0
349,FL,Escambia,"138,136","130,409","7,727",6.0
350,FL,Flagler,"43,676","40,928","2,748",6.0
351,FL,Franklin,"4,773","4,548",225,5.0
352,FL,Gadsden,"18,212","16,900","1,312",7.0
353,FL,Gilchrist,"6,499","6,131",368,6.0
354,FL,Glades,"4,711","4,374",337,7.0
355,FL,Gulf,"5,995","5,680",315,5.0
356,FL,Hamilton,"4,522","4,228",294,7.0
357,FL,Hardee,"10,091","9,386",705,7.0
358,FL,Hendry,"15,099","13,491","1,608",11.0
359,FL,Hernando,"66,100","61,502","4,598",7.0
360,FL,Highlands,"35,344","32,691","2,653",8.0
361,FL,Hillsborough,"689,381","654,510","34,871",5.0
362,FL,Holmes,"6,692","6,280",412,6.0
363,FL,Indian,"61,223","57,023","4,200",7.0
364,FL,Jackson,"17,313","16,291","1,022",6.0
365,FL,Jefferson,"5,375","5,054",321,6.0
366,FL,Lafayette,"3,204","3,057",147,5.0
367,FL,Lake,"140,801","133,031","7,770",6.0
368,FL,Lee,"319,381","302,883","16,498",5.0
369,FL,Leon,"147,573","140,142","7,431",5.0
370,FL,Levy,"16,448","15,496",952,6.0
371,FL,Liberty,"2,638","2,483",155,6.0
372,FL,Madison,"7,476","7,016",460,6.0
373,FL,Manatee,"164,899","156,532","8,367",5.0
374,FL,Marion,"130,198","121,727","8,471",7.0
375,FL,Martin,"69,503","65,768","3,735",5.0
376,FL,Miami-Dade,"1,317,053","1,239,626","77,427",6.0
377,FL,Monroe,"45,783","44,186","1,597",4.0
378,FL,Nassau,"36,565","34,682","1,883",5.0
379,FL,Okaloosa,"91,741","87,579","4,162",5.0
380,FL,Okeechobee,"17,249","16,162","1,087",6.0
381,FL,Orange,"686,092","651,611","34,481",5.0
382,FL,Osceola,"157,274","148,194","9,080",6.0
383,FL,Palm,"690,937","655,590","35,347",5.0
384,FL,Pasco,"215,394","202,727","12,667",6.0
385,FL,Pinellas,"470,699","447,351","23,348",5.0
386,FL,Polk,"279,976","262,248","17,728",6.0
387,FL,Putnam,"27,267","25,183","2,084",8.0
388,FL,St.,"113,384","108,908","4,476",4.0
389,FL,St.,"131,310","122,938","8,372",6.0
390,FL,Santa,"73,970","70,388","3,582",5.0
391,FL,Sarasota,"177,827","168,802","9,025",5.0
392,FL,Seminole,"236,649","224,989","11,660",5.0
393,FL,Sumter,"28,635","26,430","2,205",8.0
394,FL,Suwannee,"17,937","16,957",980,6.0
395,FL,Taylor,"8,981","8,377",604,7.0
396,FL,Union,"4,736","4,505",231,5.0
397,FL,Volusia,"238,676","224,701","13,975",6.0
398,FL,Wakulla,"13,960","13,308",652,5.0
399,FL,Walton,"27,844","26,534","1,310",5.0
