,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
127,KS,Barber,4861,2710.460362,1820.544332,555.5888692,10.73083364,2662,2549,113,4
128,AL,Barbour,27457,23170.34263,18180.53746,5311.901182,0,8609,7844,765,9
129,WV,Barbour,16589,14807.29216,12002.8304,118.9892249,0,6883,6373,510,7
130,ND,Barnes,11066,7343.080055,4856.109215,2905.78699,663.9150002,5647,5466,181,3
131,MA,Barnstable,215888,186894.4587,133268.7479,0,0,111567,104763,6804,6
132,SC,Barnwell,22621,18868.38231,15306.99154,6.581392539,0,8377,7625,752,9
133,KY,Barren,42173,33007.25078,26399.89196,2135.120609,0,18393,17439,954,5
134,WI,Barron,45870,38962.15294,29829.00053,1747.053721,0,24478,23258,1220,5
135,GA,Barrow,69367,62170.24748,50700.39452,0,0,36122,34224,1898,5
136,MI,Barry,59173,53478.86557,46058.78204,14.36728034,0,30170,28874,1296,4
137,MO,Barry,35597,32412.74488,26516.06383,169.795879,0,14918,14171,747,5
138,IN,Bartholomew,76794,65072.85491,43108.56236,1120.476122,0,43580,42004,1576,4
139,KS,Barton,27674,21258.21868,12277.09136,2921.594357,0,14591,13976,615,4
140,MO,Barton,12402,11171.11813,8526.042889,1928.468037,0,5329,5040,289,5
141,GA,Bartow,100157,94356.03049,80764.77283,0,0,46858,44103,2755,6
142,TX,Bastrop,74171,72505.46136,68625.88662,16660.85794,0,37507,36053,1454,4
143,MO,Bates,17049,14709.02593,10304.61682,700.151403,0,8154,7658,496,6
144,KY,Bath,11591,10850.20852,10147.76734,15.52776955,0,4713,4352,361,8
145,VA,Bath,4731,4587.298691,4434.722963,979.461274,0,2536,2433,103,4
146,AR,Baxter,41513,37690.77643,29704.65757,859.7429558,0,16217,15329,888,6
147,FL,Bay,168852,136710.5309,82480.92793,6062.373209,0,87546,82751,4795,6
148,MI,Bay,107771,85375.67709,51422.80927,63.49554358,0,52117,49111,3006,6
149,WI,Bayfield,15014,13077.67567,11825.00948,3779.529282,28.44415036,7535,6909,626,8
150,TX,Baylor,3726,2619.272393,1176.336381,277.2431041,0.0335159,1625,1568,57,4
151,SD,Beadle,17398,13735.43929,6275.847173,2621.720192,165.3066393,9452,9202,250,3
152,NC,Beaufort,47759,41904.39744,33496.96194,2153.615511,0,20117,18791,1326,7
153,SC,Beaufort,162233,140386.7124,103205.1033,795.1652288,0,71661,67748,3913,6
